contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades,datetime
NIFTY 13-Apr-2026,13-Apr-2026,Call,24000,168.5,61.75,57.85,130.0,188.0,108.25,168.45,462722650,68538478918.0,68538478918.0,11173882078918.0,24050.6,79665.0,7118810,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24000,116.8,-185.65,-61.38,262.1,273.0,107.4,120.25,365360190,54709034850.6,54709034850.6,8823353594850.6,24050.6,94848.0,5620926,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,24100,115.6,40.0,52.91,90.0,131.6,69.0,117.55,246558585,25319101093.65,25319101093.65,5967380999593.65,24050.6,52876.0,3793209,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,23900,82.05,-160.25,-66.14,198.9,213.6,75.3,84.8,244768615,27460590916.85,27460590916.85,5877430489416.85,24050.6,84837.0,3765671,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,24200,75.55,23.8,45.99,60.0,85.8,42.5,76.7,226054595,15145657865.0,15145657865.0,5485666856865.0,24050.6,69286.0,3477763,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,23800,60.35,-131.7,-68.58,189.9,189.9,53.1,60.25,202127640,16002445258.8,16002445258.8,4826640277258.8,24050.6,72917.0,3109656,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,24050,140.45,50.2,55.62,97.9,158.5,87.05,142.0,200155605,25155556436.4,25155556436.4,4838897856686.4,24050.6,34052.0,3079317,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,23950,98.5,-172.95,-63.71,210.0,234.7,89.6,101.1,187831930,24729951903.8,24729951903.8,4523304675403.8,24050.6,48277.0,2889722,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23900,231.65,84.35,57.26,161.0,254.3,159.55,231.1,183731925,36935628882.75,36935628882.75,4428128636382.75,24050.6,41838.0,2826645,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,23950,199.15,73.75,58.81,160.0,219.75,131.45,197.8,178286745,30667103007.45,30667103007.45,4300634645757.45,24050.6,23906.0,2742873,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,24500,19.4,2.35,13.78,15.9,22.15,10.35,19.4,155296960,2545317174.4,2545317174.4,3807320837174.4,24050.6,170932.0,2389184,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,24300,47.6,11.7,32.59,40.2,54.8,25.85,48.25,146200145,6178418127.7,6178418127.7,3558841941627.7,24050.6,75712.0,2249233,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,23700,43.85,-107.55,-71.04,100.0,139.9,37.85,42.6,137306650,7580700146.5,7580700146.5,3261748305146.5,24050.6,69000.0,2112410,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,24150,93.95,30.5,48.07,68.6,107.0,54.6,95.3,130469300,10864178611.0,10864178611.0,3161697773611.0,24050.6,24671.0,2007220,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,23500,24.1,-63.95,-72.63,64.05,64.05,20.15,22.95,126683245,3568667011.65,3568667011.65,2980624924511.65,24050.6,94548.0,1948973,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,23850,70.4,-145.25,-67.35,170.35,180.95,62.9,71.15,111251335,10401999822.5,10401999822.5,2663746339572.5,24050.6,36152.0,1711559,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,24400,29.55,5.35,22.11,23.25,34.3,15.7,29.85,107878485,2777870988.75,2777870988.75,2635012904988.75,24050.6,72153.0,1659669,2026-04-11 10:09:51
