contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades,datetime
NIFTY 19-May-2026,19-May-2026,Call,25000,33.05,-26.7,-44.69,46.0,46.0,30.65,35.0,5811325,214960911.75,214960911.75,145498085911.75,24176.15,33301.0,89405,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,24200,270.0,-94.7,-25.97,300.0,314.0,248.8,276.75,5225480,1478183782.4,1478183782.4,127934799782.4,24176.15,17902.0,80392,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,24200,248.55,58.85,31.02,227.65,296.6,221.8,242.7,4377230,1114661619.5,1114661619.5,107043627619.5,24176.15,14851.0,67342,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,24500,141.05,-68.85,-32.8,197.4,197.4,129.0,144.75,3834155,575123250.0,575123250.0,94511920750.0,24176.15,17916.0,58987,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,23000,14.05,2.1,17.57,14.55,20.0,13.0,14.6,3345615,53496383.85,53496383.85,77002641383.85,24176.15,19880.0,51471,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,23500,50.95,12.15,31.31,45.0,69.0,42.75,50.95,2714010,151034656.5,151034656.5,63930269656.5,24176.15,15285.0,41754,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,24800,61.2,-42.0,-40.7,97.0,97.0,57.85,64.75,2685540,185946789.6,185946789.6,66787338789.6,24176.15,11817.0,41316,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,24300,217.75,-88.85,-28.98,254.45,261.2,203.4,226.0,2661165,624735095.4,624735095.4,65291044595.4,24176.15,10165.0,40941,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,24000,162.2,39.5,32.19,152.65,204.0,144.0,161.95,2628795,453309409.8,453309409.8,63544389409.8,24176.15,14124.0,40443,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,25500,7.4,-5.05,-40.56,9.05,11.7,6.95,7.35,2615925,20953559.25,20953559.25,66727041059.25,24176.15,17923.0,40245,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,25200,17.8,-15.0,-45.73,26.2,26.2,16.4,18.65,2584855,51981434.05,51981434.05,65190327434.05,24176.15,9088.0,39767,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,23300,30.45,6.85,29.03,29.0,42.4,25.7,30.25,2583685,85881689.4,85881689.4,60285742189.4,24176.15,15607.0,39749,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,24700,83.8,-48.2,-36.52,91.1,106.4,76.1,86.1,2551250,231525937.5,231525937.5,63247400937.5,24176.15,9561.0,39250,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,25100,25.45,-19.3,-43.13,39.55,39.55,22.6,25.3,2288780,61934386.8,61934386.8,57510312386.8,24176.15,8621.0,35212,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,23200,23.75,5.45,29.78,17.05,33.25,17.05,23.95,2225730,57802208.1,57802208.1,51694738208.1,24176.15,9488.0,34242,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,24900,46.3,-32.6,-41.32,50.05,61.0,42.6,47.85,2116205,107905292.95,107905292.95,52801409792.95,24176.15,8560.0,32557,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,24400,179.1,-74.95,-29.5,200.05,214.0,163.8,182.15,2106000,400076820.0,400076820.0,51786476820.0,24176.15,14682.0,32400,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,23800,104.1,26.95,34.93,95.0,135.3,94.3,104.1,2025465,225940620.75,225940620.75,48432007620.75,24176.15,10083.0,31161,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,25300,12.1,-11.75,-49.27,23.75,23.75,12.1,13.5,2021370,29289651.3,29289651.3,51169950651.3,24176.15,6510.0,31098,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,24300,296.0,64.25,27.72,293.7,351.0,268.6,293.4,1913535,578365953.75,578365953.75,47077266453.75,24176.15,9482.0,29439,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,23400,39.5,9.25,30.58,30.25,54.15,30.25,39.2,1881100,81018977.0,81018977.0,44098758977.0,24176.15,16261.0,28940,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,26000,2.7,-0.8,-22.86,3.6,3.6,2.6,2.75,1743365,4933722.95,4933722.95,45332423722.95,24176.15,20258.0,26821,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,24600,109.05,-57.9,-34.68,110.15,136.4,100.65,112.2,1730755,204177167.35,204177167.35,42780750167.35,24176.15,7177.0,26627,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,23100,17.9,3.65,25.61,17.95,25.7,12.0,18.5,1726465,34788269.75,34788269.75,39916129769.75,24176.15,6366.0,26561,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,24100,201.0,50.35,33.42,170.0,247.35,170.0,200.25,1668290,350841387.0,350841387.0,40556630387.0,24176.15,5126.0,25666,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Call,25400,9.9,-7.5,-43.1,11.05,13.25,8.55,9.9,1612585,17028897.6,17028897.6,40976687897.6,24176.15,5584.0,24809,2026-05-11 09:01:01.677275+05:30
NIFTY 19-May-2026,19-May-2026,Put,23700,83.0,20.8,33.44,82.15,109.2,74.6,82.6,1570725,141930711.0,141930711.0,37368113211.0,24176.15,8771.0,24165,2026-05-11 09:01:01.677275+05:30
